Year,Num of detections,Coverage-adjusted,Dry gas production (Gg/yr),Dry gas production w/ pre-1992 (Gg/yr),Dry gas production (BCM),Dry gas production w/ pre-1992 (BCM),EDGAR O&G Turkmenistan (Gg/yr),EDGAR fSU O&G (Gg/yr),Annual emissions (Gg/yr),Annual emissions uncertainty (Gg/yr),Leak rate (%),Upper bound leak rate (%),Optimal leak rate (%)
1986,10.0,916.0,,42308.033786509564,,59.42139576756962,905.2699793,7531.04811423,158.02535524730558,50.70144475376513,0.3735114613094922,2.3994223750636245,1.406562226278928
1987,36.0,970.0,,44698.23476014983,,62.77841960695202,956.4133909,7868.83705045,216.02778835432912,62.15134189259516,0.4833027288740406,3.1047169945577537,1.8200120550744547
1988,29.0,924.0,,47208.51370569247,,66.30409228327595,1010.126125,8359.3285924,157.24354702062,46.67574521731165,0.3330830282031508,2.1397117716887517,1.2543176159645317
1989,26.0,860.0,,48713.62964822814,,68.41801916885976,1042.331268,8634.88258342,195.012895248336,82.59680678275788,0.4003251177474705,2.571672209082088,1.5075365743266582
1990,32.0,952.0,,49562.10771149884,,69.60970184199276,1060.4862529999998,8946.81985645,202.944009549744,66.97059597550165,0.4094741303801719,2.6304450926334546,1.5419897488873273
1991,34.0,908.0,,49340.05651923708,,69.29783218993973,1055.7349975,8960.87948273,170.9049899065178,101.91876275320668,0.3463818284032246,2.22514272111581,1.3043979801672116
1992,40.0,1283.0,40584.0,40584.0,57.0,57.0,824.0873528000001,8668.71010552,269.9215580074529,100.43932486791664,0.665093529488106,4.27253367425179,2.5045963308348043
1993,43.0,1189.0,46280.0,46280.0,65.0,65.0,936.178733,8477.46235559,301.4735403572197,91.86604379313869,0.6514121442463693,4.184645014139999,2.4530752352927014
1994,70.0,1682.0,25632.0,25632.0,36.0,36.0,571.1843979,7955.21135069,463.235724362206,215.6715896762054,1.8072554789411903,11.609735397208324,6.805727677009598
1995,53.0,1110.0,22784.0,22784.0,32.0,32.0,546.2289833000001,7870.346222054999,290.2805973021128,66.76689039462377,1.274054587877953,8.18447464634504,4.797810089264197
1996,60.0,1341.0,26344.0,26344.0,37.0,37.0,584.2595116,7935.31599012,305.02412897668137,90.12030068585452,1.1578504744028293,7.437984166590762,4.360210889552075
1997,48.0,888.0,18512.0,18512.0,26.0,26.0,321.01006870000003,7540.78218439,211.30290201039188,49.99240145777883,1.141437456840924,7.332547612000765,4.298403065928961
1998,84.0,1453.0,9256.0,9256.0,13.0,13.0,376.6436409,7738.72818102,243.44746296025227,60.74355737086715,2.6301584157330624,16.89603025981207,9.90459961718379
1999,50.0,951.0,15664.0,15664.0,22.0,22.0,593.1981810000001,7963.4197251893,234.94670844353385,73.4261763976397,1.4999151458346134,9.635393647613698,5.648351403617293
2000,35.0,945.0,33464.0,33464.0,47.0,47.0,849.4129514,8390.712327232399,195.4829004230076,67.97768611540906,0.5841587987778137,3.752612269149009,2.199813889589109
2001,31.0,817.0,34176.0,34176.0,48.0,48.0,867.4056122,8733.9224618661,149.5553945621176,40.12714564655862,0.4376035655492673,2.8111474354906214,1.6479190309947573
2002,11.0,662.0,38448.0,38448.0,54.0,54.0,955.7117837,9257.1773348196,64.746525371236,21.979292144865543,0.168400242850697,1.0817962834273056,0.6341583727031107
2003,,,42008.0,42008.0,59.0,59.0,1111.9192622,9671.7176788775,,,,,
2004,,,42008.0,42008.0,59.0,59.0,1140.4565065,9882.847144823,,,,,
2005,,,44856.0,44856.0,63.0,63.0,1140.8784365,10229.795071633598,,,,,
2006,,,42008.0,42008.0,59.0,59.0,1159.7500177,10498.34817194915,,,,,
2007,,,45568.0,45568.0,64.0,64.0,1204.8324645,10622.129868225518,,,,,
2008,9.0,360.0,45568.0,45568.0,64.0,64.0,1271.5261176,11118.56902588763,66.608662934592,38.8432308595056,0.1461742076338483,0.9390171407972758,0.5504599997901024
2009,40.0,1032.0,24920.0,24920.0,35.0,35.0,822.6573937,10094.11413281552,208.31052185784125,55.44175319081864,0.8359170219014497,5.3698968139158305,3.1478801298038617
2010,25.0,861.0,29904.0,29904.0,42.0,42.0,881.8691541999999,10554.77959726452,292.2213867883752,130.87329819886298,0.9771983239311636,6.277482128914576,3.6799145204429204
2011,9.0,426.0,43432.0,43432.0,61.0,61.0,1162.6976956,11075.84664108089,41.649603685752,18.67262000224449,0.0958961219509854,0.6160327714826588,0.3611237585856264
